Method	Path	OperationId	RequestSchema	PrimaryResponseSchema
POST	/api/v1/templates/enhanced/batch/pages	create_pages_batch_api_v1_templates_enhanced_batch_pages_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
GET	/api/v1/templates/enhanced/batch/{batch_id}	get_batch_status_api_v1_templates_enhanced_batch__batch_id__get	NOT_FOUND	INLINE_OR_EMPTY
GET	/api/v1/templates/enhanced/batch	list_batch_operations_api_v1_templates_enhanced_batch_get	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/templates/enhanced/custom/{template_id}/share	share_template_api_v1_templates_enhanced_custom__template_id__share_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
GET	/api/v1/templates/enhanced/shares	get_shared_templates_api_v1_templates_enhanced_shares_get	NOT_FOUND	INLINE_OR_EMPTY
PUT	/api/v1/templates/enhanced/shares/{share_id}	update_share_permissions_api_v1_templates_enhanced_shares__share_id__put	INLINE_OR_EMPTY	INLINE_OR_EMPTY
DELETE	/api/v1/templates/enhanced/shares/{share_id}	revoke_template_share_api_v1_templates_enhanced_shares__share_id__delete	NOT_FOUND	INLINE_OR_EMPTY
GET	/api/v1/templates/enhanced/analytics/usage	get_template_usage_analytics_api_v1_templates_enhanced_analytics_usage_get	NOT_FOUND	INLINE_OR_EMPTY
GET	/api/v1/templates/enhanced/custom/{template_id}/comments	get_template_comments_api_v1_templates_enhanced_custom__template_id__comments_get	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/templates/enhanced/custom/{template_id}/comments	add_template_comment_api_v1_templates_enhanced_custom__template_id__comments_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
PUT	/api/v1/templates/enhanced/comments/{comment_id}/resolve	resolve_comment_api_v1_templates_enhanced_comments__comment_id__resolve_put	NOT_FOUND	INLINE_OR_EMPTY
GET	/api/v1/templates/enhanced/custom/{template_id}/versions	get_template_versions_api_v1_templates_enhanced_custom__template_id__versions_get	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/templates/enhanced/custom/{template_id}/versions	create_template_version_api_v1_templates_enhanced_custom__template_id__versions_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
POST	/api/v1/templates/enhanced/custom/{template_id}/versions/{version_id}/restore	restore_template_version_api_v1_templates_enhanced_custom__template_id__versions__version_id__restore_post	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/templates/enhanced/search/advanced	advanced_search_api_v1_templates_enhanced_search_advanced_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
GET	/api/v1/templates/enhanced/custom/{template_id}/collaborators	get_template_collaborators_api_v1_templates_enhanced_custom__template_id__collaborators_get	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/templates/enhanced/custom/{template_id}/collaborators	add_template_collaborator_api_v1_templates_enhanced_custom__template_id__collaborators_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
DELETE	/api/v1/templates/enhanced/custom/{template_id}/collaborators/{user_id}	remove_template_collaborator_api_v1_templates_enhanced_custom__template_id__collaborators__user_id__delete	NOT_FOUND	INLINE_OR_EMPTY
GET	/api/v1/templates/enhanced/custom/{template_id}/workflow	get_template_workflow_api_v1_templates_enhanced_custom__template_id__workflow_get	NOT_FOUND	INLINE_OR_EMPTY
